,Câu hỏi,Câu trả lời,Ghi chú
1,"Agent có tổng cộng bao nhiêu cung tên, hay là mình chỉ set cứng 1 cung tên cho mỗi lượt chơi ạ?",set cứng 1 nhé,
2,"Những cái thông số default như kích thước của trò chơi, số lượng Wumpus, tỉ lệ của pit ... Mình được tùy ý chọn số lượng theo mong muốn đúng không ạ?",Đúng rồi. ,
3,Khi có tiếng scream thì biết vị trí của Wumpus luôn hay chỉ biết hướng đó đã từng có wumpus thôi ạ?,Khi mình bắn trúng nó mới scream mà. Nên là biết vị trí dựa theo hướng bắn rồi,
4,"Trong đồ án có đề cập:
- ""The environment is a static grid of size N x N (default N=8), with coordinates (0,0) at the bottom-left corner.""
- ""The agent starts at cell (0,0) facing East (right).""
Dạ vì em muốn tạo môi trường là bao gồm cả các Wall xung quanh mà index hong thể có -1 để biểu diễn Wall nên em muốn Wall sẽ ở các nơi có index  0 và  N + 1.
Do đó, em có thể để cho vị trí bắt đầu của Agent là (1,1) được hong ạ? 

VD: Grid (N = 8) có thể như sau:

Y  
9   #  #  #  #  #  #  #  #  #  #
8   #  _  _  _  _  _  _  _  _  #
7   #  _  _  _  _  _  _  _  _  #
6   #  _  _  _  _  _  _  _  _  #
5   #  _  _  _  _  _  _  _  _  #
4   #  _  _  _  _  _  _  _  _  #
3   #  _  _  _  _  _  _  _  _  #
2   #  _  _  _  _  _  _  _  _  #
1   #  A  _  _  _  _  _  _  _  #
0   #  #  #  #  #  #  #  #  #  #
     0  1  2  3  4  5  6  7  8  9   : X

#: wall",Vẫn đúng logic thì vẫn được. Nhớ mô tả lại trong báo cáo,
5,"In the 5th implementation:
Random Agent Baseline: 
• Implement a simple random agent for comparison in experiments.
What does the word 'random' mean?
Does it mean we take action randomly and do the search algorithm(DFS, BFS, blind seach, ...) until we find out the gold and go to the starting point. If it means we take action randomly, what is the probability of each action? Thank you",Tùy chọn nhé. Chỉ cần ghi rõ chọn như thế nào trong báo cáo là được.,
6,Is the Prolog module from pyswip allowed? Thank you.,Không được sử dụng,Câu trả lời đã được cập nhật
7,Can I use README.md instead of README.txt,Không em,
8,Can the agent pickup the arrow when it hits the wumpus / the wall?,,
9,"When a wumpus is hit, will the agent perceive the scream in the same turn or the next turn?",1 turn bắn. Turn tiếp mũi tên bay ra trúng rồi thì scream,
10,"Do the agent know the size of the map (N = 8 by default, or some other number)? Thank you",Có nhé,
11,"For some reason, is it possible to change the group between 2 projects?",Có thể. Tuy nhiên vì thay đổi nhân sự sẽ ảnh hưởng đến công việc của cả 2 nhóm. vì vậy vui lòng gửi mail đến mình để trình bày rõ hơn tình hình,
